конституция,8141
фонд,8141
генплан,8124
июль,8075
повторный,8069
бывший,8016
дошкольный,7969
центральный,7930
берег,7920
неделя,7917
точечный,7845
класс,7841
аннулировать,7826
выезд,7819
химкинский,7813
исказить,7787
малоэтажный,7769
допустимый,7741
экспозиция,7736
здоровье,7721
спорт,7719
отозвать,7715
доработать,7683
создавать,7667
архитектурный,7664
юго,7641
приватизация,7620
несоответствие,7612
мкад,7607
водохранилище,7592
исчерпывающий,7590
ход,7534
количество,7530
сп,7529
самый,7520
превышать,7503
свобода,7498
массовый,7475
сзао,7473
маршрут,7467
машиноместо,7466
суд,7427
основное,7366
целесообразность,7366
прогулочный,7352
утрата,7344
o,7336
бутаковский,7332
прослушать,7327
чудовищный,7326
залив,7325
невосполнимый,7324
яхта,7324
вертодром,7324
исторический,7315
обращение,7312
планирование,7308
наименование,7288
проживать,7282
разработчик,7281
народ,7268
набережная,7257
обсуждение,7240
средство,7228
утвержд,7215
ухудшить,7203
отразить,7164
создание,7149
сформировать,7127
обязательный,7110
собственность,7104
искусство,7083
посредством,7081
мнение,7077
оповещение,7072
соседний,7053
он,7028
проживание,7009
самостоятельно,7007
форма,7000
гужон,6983
вынести,6974
создаваться,6903
ширина,6894
законный,6878
дерево,6845
музыкальный,6812
фок,6801
местами,6789
использоваться,6777
парковочный,6745
процедура,6734
значительный,6708
совокупность,6693
ориентир,6679
май,6654
художественный,6615
возможно,6611
сделать,6603
кинотеатр,6592
бюджетный,6551
позволять,6524
нужный,6520
сохранить,6481
введение,6479
обсуждать,6469
перекрёсток,6465
вышеизложенный,6446
инвестиционный,6424
рассматривать,6405
предоставление,6402
одобрять,6400
человек,6368
дополнение,6352
благоприятный,6331
таюк,6276
раменский,6271
легализация,6261
занимать,6230
митинскай,6212
владение,6206
называть,6204
дубравный,6192
существенно,6192
б,6171
линия,6170
системный,6161
научный,6133
захоронение,6130
бассейн,6112
носить,6110
размещать,6100
многофункциональный,6100
введенский,6086
уточнение,6070
вред,6059
сфера,6053
запрет,6050
страна,6049
направление,6045
сложиться,6038
студия,6029
осуществлять,6025
поддержать,6006
предложить,5993
промышленный,5964
подготовить,5956
незастроенный,5947
снести,5932
ничто,5919
отраслевой,5909
устранить,5908
входящая,5872
предусматриваться,5868
жильцов,5842
пространство,5835
оборудовать,5832
подлежащее,5820
уходить,5811
путём,5797
ландшафтный,5760
угроза,5756
улучшить,5748
перечисленный,5743
разработать,5727
разместиться,5700
театральный,5691
спутник,5683
измайлов,5682
государство,5678
выдача,5678
актуально,5676
возможный,5673
всесторонний,5667
танец,5666
несоответствующий,5666
украшение,5664
законодательный,5660
зал,5645
нном,5641
социально,5634
переть,5634
оформление,5628
факт,5625
отнести,5620
перенести,5583
москомархитектура,5582
машина,5566
текст,5549
долина,5527
воздух,5522
грубый,5519
нанести,5472
гектар,5470
строгинский,5469
ввести,5469
строить,5445
мы,5435
южный,5433
противоречие,5401
повлечь,5398
формирование,5383
осуществление,5382
зао,5376
течение,5366
юридический,5350
отметить,5345
алтуфьевский,5342
регистрация,5342
система,5339
президент,5305
волоколамский,5302
пересечение,5289
остановить,5282
понятие,5257
сеть,5248
истратить,5238
строго,5237
х,5225
рассмотрение,5194
собственный,5185
описание,5178
ущемлять,5152
зарегистрировать,5136
вызывать,5129
департамент,5108
магазин,5096
благополучие,5096
рубль,5085
несколько,5085
высотный,5078
легализоваться,5059
текстовый,5056
превышение,5053
должное,5051
предмет,5047
должностной,5045
массово,4991
поликлиника,4976
застроить,4945
суммарный,4940
признать,4931
путь,4930
историко,4928
гак,4906
управа,4877
уточнить,4873
специальный,4869
регулирование,4868
запланировать,4862
разъяснение,4854
ликвидация,4853
взять,4827
совместный,4814
минстрой,4812
жильё,4800
обоснование,4780
пятиэтажка,4769
уровень,4750
куркино,4733
руководство,4725
числовой,4724
традиционный,4720
вырубка,4712
сегодняшний,4706
устаревший,4699
щелковский,4691
карга,4691
занятый,4684
наличие,4683
физкультура,4654
федин,4651
низкоплотный,4648
безопасность,4637
панельный,4635
конкретный,4622
внутридворовый,4603
мичуринский,4588
нижеследующий,4585
рис,4562
включ,4561
необратимый,4556
отклонитьпредставленный,4554
требуемустановить,4554
ансамбль,4535
распространяться,4517
раменки,4502
ломоносовский,4499
договор,4483
окн,4478
перспектива,4477
прочий,4477
освещение,4470
граничить,4463
своевременно,4461
запретить,4451
стоянка,4447
метрополитен,4444
авиамоторный,4437
действовать,4423
возвести,4414
помощь,4412
экология,4394
ущерб,4388
грк,4377
имущественный,4352
выписка,4339
заявление,4338
возведение,4335
ооо,4332
постройка,4332
выявить,4330
последний,4327
частью,4314
напротив,4255
советский,4240
многие,4234
абсолютно,4229
некапитальный,4220
фактически,4219
большинство,4213
аренда,4212
конечный,4190
планировочный,4189
категория,4187
вала,4174
обстоятельство,4171
ii,4168
состоять,4163
дополнить,4142
малое,4140
застройщик,4120
плоскостной,4119
ответ,4119
мещерский,4103
контора,4084
руинированный,4076
пол,4071
остров,4062
лосиный,4060
влд,4046
функция,4015
разный,3984
реорганизация,3976
осуществляться,3962
водный,3959
таможенный,3935
нежилой,3932
стенд,3931
сквозной,3931
въезд,3918
правообладатель,3916
соблюдение,3903
национальный,3867
обозначить,3843
салям,3841
повестка,3824
применительно,3820
приниматься,3820
располагаться,3812
присвоить,3786
река,3786
береговой,3785
существовать,3776
этажность,3771
алексей,3760
игнорироваться,3755
негативный,3752
вестибюль,3750
жительство,3742
некоторый,3739
дорожный,3733
приобщить,3711
сетунь,3711
организовать,3708
заложить,3705
гзк,3682
ресурс,3680
уполномоченный,3672
кустарник,3669
изложить,3661
слой,3651
невозможно,3643
позволить,3626
предлагаться,3624
стадион,3622
распоряжение,3615
утверждаться,3614
соколово,3609
шум,3597
медицинский,3596
разобраться,3587
профсоюзный,3562
депутат,3553
доступный,3549
политика,3548
допускаться,3545
велодорожка,3524
велотранспортный,3520
среди,3511
десять,3511
следовательно,3501
оставаться,3496
адиля,3491
регулировать,3478
обозначение,3474
открытый,3471
предприятие,3465
принимать,3464
назад,3462
предоставить,3459
выразить,3449
раз,3436
несовместимый,3431
поэтажный,3424
устойчивый,3413
уличный,3403
участие,3403
ювао,3402
будущее,3402
проектирование,3393
двор,3388
предыдущий,3372
согласование,3369
общество,3354
ошибка,3341
пристроенный,3338
физический,3336
фрагмент,3327
самостоятельный,3322
процесс,3304
гарантировать,3293
ограничивать,3291
производиться,3280
равно,3266
тротуар,3256
разрабатывать,3250
поверхность,3229
двусторонний,3220
войти,3219
велтон,3216
стоить,3213
текущий,3208
инженерный,3204
зу,3197
подобный,3195
рязанский,3192
пойма,3180
самовольный,3180
здравоохранение,3172
невозможный,3149
отступ,3148
зафиксировать,3144
автомобиль,3143
практика,3138
университет,3136
одновременно,3127
вход,3127
свао,3122
функционировать,3122
признавать,3115
произвести,3114
естественный,3108
правоотношение,3106
проходить,3103
неограниченный,3102
таблица,3090
официальный,3084
покровский,3079
округ,3076
москвич,3075
постоянный,3070
ниже,3067
расширение,3065
управление,3064
представительный,3063
нарушаться,3060
лишить,3059
дальнейший,3051
апрель,3047
вопреки,3045
получить,3040
ивановский,3039
памытник,3034
институт,3033
копия,3033
единственный,3028
валом,3022
накладывать,3013
рассчитать,3007
утратить,3005
данные,3001
защищать,2995
судебный,2993
хозяйственный,2992
администрация,2982
делать,2977
товар,2969
потребность,2965
занести,2964
сельский,2959
отрадный,2953
заключение,2952
лосиноостровский,2952
госпитальный,2951
красный,2949
функционально,2945
пожарный,2932
преимущественно,2927
боровой,2920
юрьевский,2920
защита,2915
щданий,2907
отзыв,2903
вообще,2901
подеть,2891
вырубить,2888
важный,2888
двухполосный,2876
нужно,2872
разделить,2871
основа,2870
существенный,2858
сделка,2852
услуга,2837
уничтожение,2824
конструкция,2822
соблюдать,2821
разделение,2812
ремонт,2809
формулировка,2806
отвечать,2801
попытка,2791
появиться,2790
янтарный,2785
объединение,2784
самострой,2775
министерство,2767
ш,2765
вавилов,2764
вступить,2738
оздоровительный,2737
офисный,2735
множество,2734
значит,2734
существо,2714
зависимость,2711
обращаться,2708
цао,2707
отрезка,2704
светланов,2701
арбитражный,2700
сервис,2692
дворовый,2682
газон,2676
рана,2673
тушино,2671
увеличение,2669
отдельно,2668
разделительный,2660
происходить,2660
передача,2655
юзао,2649
личный,2641
обход,2640
удс,2639
возводить,2638
тип,2637
опасность,2635
тушинский,2629
обручевский,2620
автобус,2617
картографический,2616
культурно,2614
обустройство,2612
полагать,2608
мероприятие,2607
тной,2604
выполнить,2602
доступ,2600
необходимость,2590
работать,2589
эпидемиологический,2587
активный,2584
предстоящий,2580
маршал,2576
забитый,2570
впервые,2566
идентифицировать,2566
обитание,2553
больница,2551
составить,2545
указание,2543
префект,2540
многоуровневый,2538
вычислить,2531
жить,2531
главный,2517
присутствовать,2512
окс,2504
превращение,2501
новогорский,2495
нагрузка,2483
поэтому,2477
туристский,2477
ограничить,2477
выбрать,2472
поставить,2468
развлекательный,2457
намерение,2451
тц,2449
оставить,2448
заводский,2428
пешеход,2424
префектура,2417
получение,2414
подъездный,2412
вправе,2406
очередь,2405
разрешаться,2396
портал,2381
ныне,2380
располагать,2379
жалоба,2374
жк,2371
суть,2363
обязать,2362
горожанин,2358
мневниковский,2355
внутренний,2351
каменный,2350
трамвайный,2350
сотня,2344
оборудование,2341
пристройка,2340
восстановление,2337
камера,2333
особа,2333
причинить,2332
планерный,2331
путин,2327
способ,2327
летие,2327
расположение,2325
добираться,2324
районный,2322
коллапс,2321
временной,2320
сайт,2317
домик,2315
тимченко,2314
сочетание,2304
мимо,2297
наиболее,2295
реакция,2294
усиленный,2291
пересмотреть,2290
настоятельно,2290
приведение,2289
бесплатный,2288
весьма,2284
пересматриваться,2283
коллежский,2283
предлогать,2283
мощный,2282
дубла,2280
способный,2279
исследование,2279
вне,2266
война,2264
определённый,2262
загрязнение,2258
сам,2258
забросить,2254
мэр,2251
мир,2249
оказаться,2246
состояться,2246
август,2243
мировой,2243
июнь,2238
коминтерн,2237
изъять,2237
деньга,2230
фитнес,2229
объявить,2229
застройкива,2229
строгино,2227
перегрузить,2224
освещённость,2219
пассажир,2218
маленький,2217
неизменный,2210
мгсна,2196
городок,2195
доступность,2192
род,2186
различаться,2182
порядком,2179
зелень,2175
свидетельствовать,2173
краснопресненский,2171
вывод,2171
век,2170
жуков,2170
анатолий,2165
начаться,2165
железнодорожный,2164
судить,2161
воссоздание,2161
мобильный,2159
учебный,2159
нести,2152
поименованный,2150
противопожарный,2150
выполнение,2144
индивидуально,2140
фотиева,2128
обочина,2124
хранение,2124
вноситься,2123
вступать,2119
запрещать,2119
служить,2117
начало,2116
гостиничный,2113
нынешний,2110
неподходящий,2109
представитель,2107
способствовать,2107
легализовать,2103
признак,2103
подраздел,2102
пашков,2100
разрешать,2100
сопровождаться,2097
театр,2087
востребовать,2083
уведомить,2081
заполнить,2081
ярко,2079
рп,2079
антисоциальный,2079
изменять,2077
ежедневно,2075
осень,2071
естественно,2068
разгрузка,2067
усложнить,2067
массив,2066
перехватывать,2065
пешком,2065
перенасытить,2063
трудность,2063
буквально,2063
погрузка,2062
вмо,2060
ладья,2059
ковчег,2059
таганско,2059
выбирать,2058
отпуск,2058
остановоучитывать,2058
крост,2058
сезон,2058
сздый,2058
арбатско,2058
затемнить,2058
сократить,2058
завершаться,2058
митя,2058
выполниться,2058
непопулярность,2058
напрасно,2058
традиционно,2058
проводить,2050
указываться,2045
игнорирование,2044
заинтересовать,2044
горчаков,2040
апартамент,2039
публично,2039
применяться,2037
принадлежать,2034
совет,2027
пятно,2024
перенос,2023
выход,2023
гражданский,2019
град,2014
предпринимательство,2010
январь,2006
выйти,2006
лист,2001
особенно,1999
облик,1997
ром,1990
краткосрочный,1985
несомненный,1982
конец,1973
гора,1969
вносить,1967
инвентарь,1956
сао,1956
тренажёр,1955
гр,1953
игровой,1952
контракт,1951
вводить,1950
вести,1944
вместе,1940
академик,1940
косвенно,1934
искажать,1934
растительный,1934
обстановка,1932
вместимость,1929
сельскохозяйственный,1925
собянин,1921
зеленоградский,1920
переход,1916
принципиально,1909
специализация,1908
продольный,1905
переработка,1903
джигарханян,1901
фактор,1895
этажка,1886
правопреемник,1885
иначе,1884
вторгнуться,1881
демонстрировать,1881
благоустроенный,1881
стан,1878
наноситься,1877
подчиняться,1875
бизнес,1874
пленум,1874
проблема,1874
приготовление,1874
действенный,1873
возникнуть,1871
формировать,1868
поздний,1868
репутационный,1868
вступление,1864
приоритет,1864
среднесрочный,1857
изыскание,1851
разовый,1841
пожелание,1836
смысл,1828
соответсвие,1827
высоковольтный,1824
iv,1817
прокладка,1812
выставка,1807
стимул,1807
эффект,1807
активизация,1807
замлепользование,1806
хэтажный,1806
предоставляться,1804
правилземлепользование,1803
провозгласить,1803
зеленыминасаждение,1798
кодексумосква,1798
потенциальный,1797
тоннель,1797
стоимость,1795
комитет,1794
военный,1792
оборот,1791
ознакомиться,1789
выходить,1788
запрещаться,1785
ткп,1785
объяснить,1767
физкультурный,1766
доклад,1763
торговля,1761
событие,1759
политический,1759
они,1759
животный,1757
прекратить,1757
упорный,1753
свободный,1753
внимание,1751
кафе,1747
основываться,1746
магистраль,1742
просвещение,1740
вернадский,1733
принадлежащий,1733
ссылка,1733
госконтракт,1731
контроль,1731
архитектура,1730
прокладывать,1730
выбор,1725
равный,1719
промежуточный,1719
климов,1715
неменьший,1713
реконстуркция,1713
исчитать,1713
восстаносить,1713
наличный,1713
насажденить,1713
созранение,1713
проить,1713
деревье,1713
отрицательный,1708
рассмотреть,1702
представление,1698
президиум,1697
первомайский,1691
заказник,1679
обнаружить,1673
закончить,1672
направлять,1672
пригодный,1671
проверка,1670
обещать,1665
хотеть,1663
достаточный,1661
влечь,1660
источник,1660
обеспечиваться,1658
фиксировать,1654
изастройка,1653
больший,1653
новодевичий,1650
волжский,1650
завершить,1649
минимум,1646
васильцовский,1644
шаговый,1644
санкт,1643
гарантия,1643
корсаков,1643
петербург,1643
внешний,1642
римский,1641
стройка,1640
шушенский,1639
смочь,1639
пометить,1638
паспорт,1637
белых,1635
декабрист,1630
запись,1626
неч,1625
кад,1625
смешанный,1623
окский,1622
снятой,1619
явно,1611
религиозный,1610
десяток,1604
лично,1595
смена,1592
присвоение,1592
илья,1585
литовский,1584
нереализованный,1583
взрослый,1581
настаивать,1574
образовать,1570
отведа,1568
расход,1567
заверение,1565
изготовление,1564
водоём,1563
подпункт,1561
волжско,1560
леса,1552
соображение,1551
продолжительность,1550
владелец,1549
покрывать,1548
электронный,1545
компания,1544
последующий,1543
целостный,1540
различный,1539
увеличиться,1538
ппм,1536
княжнина,1533
многий,1533
явный,1527
композиционно,1523
древесный,1520
кустарниковый,1519
оказание,1519
осуществиться,1517
прилегабщий,1517
уель,1517
предписываться,1517
адресууть,1517
сичтаять,1516
застраивать,1514
увеличить,1514
рабочий,1509
ценный,1505
уплотнять,1505
база,1503
нахимовский,1503
выноситься,1501
отражение,1501
логический,1499
объявлять,1496
технологический,1495
самостроев,1495
неподлежать,1494
надстройка,1494
резервирование,1490
омс,1488
несостоявшийся,1487
культовый,1486
э,1481
ленинский,1478
приём,1476
лесопарк,1475
коммуникация,1471
выработка,1468
отнесение,1466
рука,1462
декларировать,1460
литр,1459
размещаться,1453
термин,1451
название,1448
мало,1447
локомотив,1444
столица,1443
абельмановский,1442
сильно,1440
подпись,1439
тело,1432
стрела,1431
снип,1428
академия,1425
обеспечивать,1424
пфк,1421
гск,1420
ввод,1419
особый,1418
считаться,1417
азс,1415
пожилое,1415
погодинский,1411
вышесказанный,1410
тэп,1410
ленинград,1408
успешно,1399
наука,1396
сосед,1393
встроить,1388
дубрава,1387
состояние,1387
питание,1386
помимо,1383
братский,1382
очередной,1382
предварительный,1381
попадать,1380
третье,1379
встроенный,1377
мневники,1375
верховный,1369
предпринимательский,1368
друг,1364
влияние,1362
затор,1360
практически,1358
затрагивать,1357
досуговый,1356
архитектор,1355
производство,1351
срочно,1347
частично,1342
арендатор,1341
сентябрь,1341
очень,1340
магистральный,1331
реконструировать,1329
техника,1327
заседание,1326
автозаправочный,1325
дмитровский,1324
густонаселённый,1324
научно,1323
урна,1322
местоположение,1315
строинский,1315
требоваться,1315
фэ,1314
бескоровайный,1312
незащищенный,1306
нецелевой,1301
передать,1301
исполнение,1300
ухудшиться,1299
исследовательский,1299
экспертиза,1293
неопределённый,1292
орп,1289
люба,1289
частное,1288
уникальный,1284
посольство,1282
второе,1280
прилагаться,1279
особенность,1278
воробьев,1274
садов,1273
придорожный,1270
голосование,1269
нижний,1269
малый,1268
мастерский,1267
университетский,1266
китайский,1266
высказываться,1265
вспомогательный,1264
возникать,1261
живой,1255
упомянуть,1254
индивидуальный,1252
дышать,1252
реализовать,1244
фасад,1244
видеть,1242
дефицит,1237
бюджет,1235
ао,1234
четыре,1230
увеличивать,1223
водоснабжение,1221
впадение,1217
примыкать,1217
обойти,1212
бессрочный,1212
остальной,1211
вечный,1210
современно,1210
богатый,1204
существование,1203
оставлять,1203
отмена,1201
структура,1201
заста,1196
довженко,1195
узаконивание,1191
гораздо,1189
ярославский,1188
половина,1188
челомей,1187
расти,1185
выделять,1184
миллиард,1184
игнорировать,1183
старокалужский,1182
пост,1182
таковой,1182
признанный,1181
объединить,1181
землепользователь,1178
абз,1175
наб,1174
мойка,1174
аккумулировать,1173
закреплять,1173
вс,1172
отдельность,1172
видимо,1172
николай,1171
парка,1170
фрунзе,1168
s,1165
непредусмотренный,1164
земляной,1161
волюнтаристский,1158
киноконцерн,1157
мосфильм,1157
уродец,1157
цинично,1157
пудовкин,1157
нувориш,1157
ограничиваться,1156
финансирование,1152
гетто,1151
ссср,1151
труба,1150
пырьев,1147
индустриальный,1147
вещество,1147
кола,1145
отказываться,1145
го,1139
местность,1133
конфискация,1130
продиктовать,1130
подзаконный,1128
дашков,1126
десятка,1126
найти,1126
полноценный,1124
частичный,1121
оказать,1117
продажа,1115
инкубатор,1113
охраняться,1111
основать,1111
подвид,1111
постановка,1111
сказать,1111
идти,1110
я,1109
досуговыя,1108
усок,1104
собрать,1103
ответственность,1103
написать,1100
восполнение,1100
обосновать,1100
бессудный,1100
лодочный,1099
привязать,1098
уменьшение,1097
идентификация,1097
переходный,1096
совпадение,1096
посчитать,1095
наделять,1095
вышеназванный,1094
воля,1093
высказаться,1093
наряду,1092
технополис,1091
j,1091
разнообразный,1090
определённо,1089
пк,1089
цена,1088
пыль,1087
выс,1085
перинатальный,1085
инициировать,1084
отличие,1083
превысить,1082
воспитание,1082
освобождение,1079
гос,1077
усадьба,1077
уважение,1076
собака,1076
гостев,1075
обслуживающий,1074
парковать,1072
егон,1072
шумовой,1071
прошуустановить,1071
щукинскай,1070
овд,1070
ооп,1069
таллинский,1069
судьба,1068
щукинский,1067
компетенция,1067
iw,1066
защитныезон,1066
упразднение,1066
выделениюземельный,1066
селить,1066
выгул,1066
графически,1066
перевод,1066
кулыурногонаследие,1066
плот,1065
тимирязевский,1064
неменее,1062
такимобраз,1062
допустимыепо,1062
науказанный,1062
ежегодно,1061
управленческий,1059
опубликовать,1058
потолька,1058
впоследствии,1058
свойство,1057
секционный,1057
вырубать,1057
именовать,1056
неопределённость,1056
тимур,1056
ополчение,1055
горячее,1055
обременить,1054
расширяться,1054
холодное,1054
единодушно,1053
равнозначный,1053
распоряжаться,1052
атмосфера,1052
выживать,1051
заявлением,1051
противопоказание,1051
сокол,1051
природнойтерритория,1051
гарантированно,1051
устав,1049
переслать,1049
нормирование,1046
преобразование,1046
проезжий,1045
байконур,1045
рсфср,1045
упорядочить,1044
ред,1044
лишать,1044
интересовать,1042
пз,1042
произойти,1042
словесный,1041
цифровой,1041
освобождать,1040
крупный,1039
противоречивый,1037
застройкиучасток,1034
точка,1032
дезинтегрировать,1032
кодексаградостроительный,1031
которойуказываться,1031
жиломкомплекс,1031
территорииквартал,1031
изправило,1031
москвывходить,1031
основанииградостроительный,1031
зависимостиот,1031
лишьвоспроизводить,1031
застройкиобщественный,1031
этомградостроительный,1031
общественногоназначение,1031
действовавшимный,1031
очертить,1030
подросток,1030
зачастую,1030
расплывчатый,1029
водоохранный,1029
императивный,1028
православный,1027
минюст,1025
развиваться,1024
рождение,1016
пи,1015
совместимый,1014
отражать,1014
целевой,1013
настораживать,1010
систематизация,1010
